BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
CASEYS GEN STORE,Tobacco Products,2950931
CASEYS GEN STORE,Mature,2859240
EQUATE,Hair Removal,893268
PALMOLIVE,Bath & Body,542562
DAWN,Bath & Body,301844
BARBASOL,Hair Removal,283926
KROGER,Bakery,251276
SKINTIMATE,Hair Removal,227224
DAWN PLATINUM,Bath & Body,143596
KIRKLAND SIGNATURE,Bath & Body,131371
RED BULL,Carbonated Soft Drinks,100808
COCA-COLA,Carbonated Soft Drinks,97427
AJAX,Bath & Body,88331
EQUATE,Bath & Body,80505
DR PEPPER,Carbonated Soft Drinks,77880
BODYCOLOGY,Body Fragrances,75527
KINDERS,Dips & Salsa,73657
BODY FANTASIES,Body Fragrances,73205
MOUNTAIN DEW,Carbonated Soft Drinks,68610
MONSTER,Carbonated Soft Drinks,65880
UCREATE,Household Supplies,65185
STARBUCKS,Coffee,63028
GAIN,Bath & Body,59469
Kraft,Prepared Meals,53760
PEPSI,Carbonated Soft Drinks,53604
LITTLE DEBBIE,Snack Cakes,51259
UP AND UP,Bath & Body,50136
HERSHEYS,Candy,50098
STAEDTLER,Makeup,49613
MIGHTYGOOD,Bath & Body,49127
DAILYS,Wine,48829
PUBLIX MALTA,Beer,48266
BIC,Household Supplies,48197
TRUE LIVING,Bath & Body,47074
CHI CHIS,Spirits,47072
XTRA,Bath & Body,46505
MARKETSIDE,Bakery,43628
LAYS,Chips,42497
CLOROX,Bath & Body,41897
REESES,Candy,41077
KRAFT,Cheese,41039
POWERADE,Sports Drinks,40210
CVS,Medicines & Treatments,39210
OLD EL PASO,Cooking & Baking,38613
CHEETOS,Puffed Snacks,38007
KINDERS,Cooking & Baking,37398
M&MS,Candy,37241
CRA-Z-ART,Makeup,36901
MCALISTERS DELI,Prepared Meals,36533
STAR WARS,Bath & Body,35649
GATORADE,Sports Drinks,34829
BETTY CROCKER,Cooking & Baking,33210
EGGO,Frozen Breakfast,32816
FIREBALL,Spirits,32463
COORS LIGHT,Beer,31672
NATURES OWN,Bread,29534
PRINGLES,Chips,29529
TRUELIVING,Bath & Body,29345
LAS TOTALLY AWESOME,Bath & Body,29278
JIF,Nut Butters & Jam,29274
GOYA,Cooking & Baking,28252
NESTLE DRUMSTICK,Frozen Desserts,28031
TROPICANA,Fruit Juices,27933
OLE SMOKY,Spirits,27768
KELLOGG'S,Frozen Desserts,27702
REXALL,Bath & Body,27446
MICHELOB ULTRA,Beer,27391
BABY SOFT,Baby Bathing,27323
QUAKER,"Cereal, Granola, & Toaster Pastries",26887
YOPLAIT,Yogurt,26573
THOMAS,Bread,26490
BARILLA,Dry Pasta,25852
RUFFLES,Chips,25446
TYSON,Frozen Chicken,25421
GATORADE,Medicines & Treatments,25275
STUDIO SELECTION,Hair Removal,25163
DG HOME,Bath & Body,24832
CORONA,Beer,24581
HEB,Bath & Body,24185
COCA-COLA ZERO,Carbonated Soft Drinks,23955
SHORTS VARIETY PACK,Beer,23822
SNICKERS,Candy,23740
SARGENTO,Cheese,22912
CANADA DRY,Carbonated Soft Drinks,22903
ARIZONA,Tea,22839
BUD LIGHT,Beer,22660
DG BODY,Hair Removal,22407
YUENGLING,Beer,22243
ENTENMANNS,Snack Cakes,21898
INSTACART,Medicines & Treatments,21745
GREAT VALUE,Household Supplies,21491
MCALISTERS DELI,Leafy Salads,21413
TOSTITOS,Chips,21401
SPARKLING ICE,Water,21370
PLANTERS,Nuts & Seeds,21293
DORITOS,Chips,21250
PEPPERIDGE FARM,Bread,21244
DOLE,Cooking & Baking,21201
PERDUE,Frozen Chicken,21003
JOY,Bath & Body,20950
LA VOSTRA,Wine,20765
SMART CARE,Household Supplies,20538
BELLS,Beer,20510
CAPTAIN MORGAN,Spirits,20410
MISSION,Bread,20283
WRITE DUDES,Household Supplies,20155
HOSTESS,Snack Cakes,20047
BARCEL TAKIS,Chips,19778
MCALISTERS DELI,Tea,19776
DORITOS,Fruit & Vegetable Snacks,19733
LAY'S,Chips,19665
GASOLINA,Spirits,19597
WET ONES,Bath & Body,19489
BEST BRANDS,Bath & Body,19308
RC,Carbonated Soft Drinks,18869
CASEYS GEN STORE,Candy,18755
STAEDTLER,Household Supplies,18633
SUN,Bath & Body,18475
PURE SILK,Hair Removal,18292
VELVEETA,Cheese,18211
SARA LEE,Bread,18136
DOGFISH HEAD,Beer,18094
SPRITE,Carbonated Soft Drinks,18091
BEN AND JERRYS,Frozen Desserts,18085
PILLSBURY,Refrigerated Doughs,17488
KINGS HAWAIIAN,Bread,17460
USH BLUEBERRIES,Fruit & Vegetable Snacks,17404
STUDIO SELECTION,Bath & Body,17378
AQUAFINA,Water,17209
BREYERS,Frozen Desserts,16732
INNOVATIONS,Bath & Body,16729
TOWER VODKA,Spirits,16644
MARGARITAVILLE,Malt Beverages,16638
BODYARMOR,Sports Drinks,16466
OCEAN SPRAY,Fruit Juices,16428
MCALISTERS DELI,Wine,16286
SPRITE ZERO,Carbonated Soft Drinks,16224
RONI,Rice & Grains,16172
HAAGEN-DAZS,Frozen Desserts,16090
COLGATE TOOTHPASTE,Oral Care,16047
BORRASCA,Wine,16024
TWIX,Candy,16006
MALIBU RTD,Spirits,15919
HEINZ,Sauces & Marinades,15913
DOVE,Bath & Body,15821
SIMPLY LEMONADE,Fruit Juices,15810
SKITTLES,Candy,15809
DISH WORKS,Bath & Body,15794
DAWN EZ SQUEEZE,Bath & Body,15761
MINUTE MAID,Fruit Juices,15542
CASEYS GEN STORE,Energy Drinks,15351
KELLOGGS,"Cereal, Granola, & Toaster Pastries",15322
KELLOGGS,Packaged Vegetables,15124
MILLER LITE,Beer,14951
GOOD CHEMISTRY,Deodorant & Antiperspirant,14938
STELLA ROSA,Wine,14729
